year,month,month_name,district,division,water_area_km2,total_area_km2,water_fraction,water_area_calibrated_km2,season
2015,4,April,Sherpur,Dhaka,869.75,1455.19,0.597689,430.5,Pre-Monsoon (Mar-May)
2015,4,April,Sirajganj,Rajshahi,198.12,2755.65,0.071898,98.1,Pre-Monsoon (Mar-May)
2015,4,April,Sunamganj,Sylhet,332.7,4043.04,0.082289,164.7,Pre-Monsoon (Mar-May)
2015,4,April,Sylhet,Sylhet,479.07,3847.75,0.124506,237.1,Pre-Monsoon (Mar-May)
2015,4,April,Tangail,Dhaka,1322.37,3707.07,0.356715,654.5,Pre-Monsoon (Mar-May)
2015,4,April,Thakurgaon,Rangpur,769.35,2008.93,0.382964,380.8,Pre-Monsoon (Mar-May)
2015,5,May,Bagerhat,Khulna,855.23,3965.62,0.215662,423.3,Pre-Monsoon (Mar-May)
2015,5,May,Bandarban,Chittagong,1657.0,5000.66,0.331357,820.1,Pre-Monsoon (Mar-May)
2015,5,May,Barguna,Barisal,165.48,1547.28,0.106951,81.9,Pre-Monsoon (Mar-May)
2015,5,May,Barisal,Barisal,459.88,2767.25,0.166187,227.6,Pre-Monsoon (Mar-May)
2015,5,May,Bhola,Barisal,653.86,2471.69,0.264539,323.6,Pre-Monsoon (Mar-May)
2015,5,May,Bogra,Rajshahi,166.43,3233.63,0.051469,82.4,Pre-Monsoon (Mar-May)
2015,5,May,Brahamanbaria,Chittagong,120.6,2104.07,0.057317,59.7,Pre-Monsoon (Mar-May)
2015,5,May,Chandpur,Chittagong,257.45,1864.17,0.138105,127.4,Pre-Monsoon (Mar-May)
2015,5,May,Chittagong,Chittagong,842.9,4736.75,0.17795,417.2,Pre-Monsoon (Mar-May)
2015,5,May,Chuadanga,Khulna,38.32,1233.0,0.031076,19.0,Pre-Monsoon (Mar-May)
2015,5,May,Comilla,Chittagong,681.01,3351.85,0.203174,337.1,Pre-Monsoon (Mar-May)
2015,5,May,Cox's Bazar,Chittagong,437.66,2206.6,0.198339,216.6,Pre-Monsoon (Mar-May)
2015,5,May,Dhaka,Dhaka,713.09,1611.18,0.442589,352.9,Pre-Monsoon (Mar-May)
2015,5,May,Dinajpur,Rangpur,596.09,3829.09,0.155675,295.0,Pre-Monsoon (Mar-May)
2015,5,May,Faridpur,Dhaka,117.61,2227.54,0.052798,58.2,Pre-Monsoon (Mar-May)
2015,5,May,Feni,Chittagong,229.63,960.78,0.239001,113.7,Pre-Monsoon (Mar-May)
2015,5,May,Gaibandha,Rangpur,228.84,2410.25,0.094946,113.3,Pre-Monsoon (Mar-May)
2015,5,May,Gazipur,Dhaka,575.88,1940.74,0.296733,285.0,Pre-Monsoon (Mar-May)
2015,5,May,Gopalganj,Dhaka,405.54,1602.77,0.253025,200.7,Pre-Monsoon (Mar-May)
2015,5,May,Habiganj,Sylhet,538.75,2857.81,0.188517,266.7,Pre-Monsoon (Mar-May)
2015,5,May,Jamalpur,Dhaka,134.4,2272.36,0.059145,66.5,Pre-Monsoon (Mar-May)
2015,5,May,Jessore,Khulna,237.79,2784.67,0.085391,117.7,Pre-Monsoon (Mar-May)
2015,5,May,Jhalokati,Barisal,45.46,807.93,0.056268,22.5,Pre-Monsoon (Mar-May)
2015,5,May,Jhenaidah,Khulna,219.57,2143.27,0.102444,108.7,Pre-Monsoon (Mar-May)
2015,5,May,Joypurhat,Rajshahi,430.38,1081.54,0.397934,213.0,Pre-Monsoon (Mar-May)
2015,5,May,Khagrachhari,Chittagong,724.83,3108.48,0.233179,358.8,Pre-Monsoon (Mar-May)
2015,5,May,Khulna,Khulna,555.96,3868.06,0.143731,275.2,Pre-Monsoon (Mar-May)
2015,5,May,Kishoreganj,Dhaka,400.94,2821.62,0.142096,198.4,Pre-Monsoon (Mar-May)
2015,5,May,Kurigram,Rangpur,399.07,2481.86,0.160793,197.5,Pre-Monsoon (Mar-May)
2015,5,May,Kushtia,Khulna,104.06,1830.28,0.056857,51.5,Pre-Monsoon (Mar-May)
2015,5,May,Lakshmipur,Chittagong,288.75,1573.07,0.183559,142.9,Pre-Monsoon (Mar-May)
