year,month,district,division,water_area_km2,water_area_calibrated_km2
2015.0,2.0,Habiganj,Sylhet,1242.53,615.6
2015.0,2.0,Maulvibazar,Sylhet,1537.33,761.6
2015.0,2.0,Sunamganj,Sylhet,1021.37,506.0
2015.0,2.0,Sylhet,Sylhet,2082.19,1031.6
2015.0,2.0,Bogra,Rajshahi,1215.46,602.2
2015.0,2.0,Joypurhat,Rajshahi,524.28,259.7
2015.0,2.0,Naogaon,Rajshahi,2560.07,1268.3
2015.0,2.0,Natore,Rajshahi,1077.74,533.9
2015.0,2.0,Nawabganj,Rajshahi,1039.52,515.0
2015.0,2.0,Pabna,Rajshahi,1071.13,530.7
2015.0,2.0,Rajshahi,Rajshahi,1286.28,637.3
2015.0,2.0,Sirajganj,Rajshahi,226.47,112.2
2015.0,2.0,Dinajpur,Rangpur,1643.76,814.4
2015.0,2.0,Gaibandha,Rangpur,321.92,159.5
2015.0,2.0,Kurigram,Rangpur,460.37,228.1
2015.0,2.0,Lalmonirhat,Rangpur,453.66,224.8
2015.0,2.0,Nilphamari,Rangpur,729.2,361.3
2015.0,2.0,Panchagarh,Rangpur,1133.72,561.7
2015.0,2.0,Rangpur,Rangpur,977.88,484.5
2015.0,2.0,Thakurgaon,Rangpur,1515.65,750.9
2015.0,2.0,Barguna,Barisal,156.15,77.4
2015.0,3.0,Barisal,Barisal,402.25,199.3
2015.0,3.0,Bhola,Barisal,635.3,314.7
2015.0,3.0,Jhalokati,Barisal,31.47,15.6
2015.0,3.0,Patuakhali,Barisal,209.79,103.9
2015.0,3.0,Pirojpur,Barisal,87.06,43.1
2015.0,3.0,Bandarban,Chittagong,2824.43,1399.3
2015.0,3.0,Brahamanbaria,Chittagong,1051.4,520.9
2015.0,3.0,Chandpur,Chittagong,233.95,115.9
2015.0,3.0,Chittagong,Chittagong,2130.9,1055.7
2015.0,3.0,Comilla,Chittagong,1764.74,874.3
2015.0,3.0,Cox's Bazar,Chittagong,650.46,322.3
2015.0,3.0,Feni,Chittagong,433.33,214.7
2015.0,3.0,Khagrachhari,Chittagong,1851.61,917.4
2015.0,3.0,Lakshmipur,Chittagong,285.63,141.5
2015.0,3.0,Noakhali,Chittagong,94.55,46.8
2015.0,3.0,Rangamati,Chittagong,315.76,156.4
2015.0,3.0,Dhaka,Dhaka,893.77,442.8
2015.0,3.0,Faridpur,Dhaka,1144.84,567.2
2015.0,3.0,Gazipur,Dhaka,1139.38,564.5
2015.0,3.0,Gopalganj,Dhaka,1007.91,499.4
2015.0,3.0,Jamalpur,Dhaka,260.07,128.8
2015.0,3.0,Kishoreganj,Dhaka,1493.19,739.8
2015.0,3.0,Madaripur,Dhaka,51.2,25.4
2015.0,3.0,Manikganj,Dhaka,177.56,88.0
2015.0,3.0,Munshiganj,Dhaka,72.82,36.1
2015.0,3.0,Mymensingh,Dhaka,2762.29,1368.5
2015.0,3.0,Narayanganj,Dhaka,428.3,212.2
2015.0,3.0,Narsingdi,Dhaka,158.85,78.7
2015.0,3.0,Netrakona,Dhaka,1638.92,812.0
2015.0,3.0,Rajbari,Dhaka,112.25,55.6
2015.0,3.0,Shariatpur,Dhaka,157.6,78.1
2015.0,3.0,Sherpur,Dhaka,990.4,490.7
2015.0,3.0,Tangail,Dhaka,1750.39,867.2
2015.0,3.0,Bagerhat,Khulna,570.8,282.8
2015.0,3.0,Chuadanga,Khulna,246.86,122.3
2015.0,3.0,Jessore,Khulna,143.18,70.9
2015.0,3.0,Jhenaidah,Khulna,764.48,378.7
2015.0,3.0,Khulna,Khulna,556.68,275.8
2015.0,3.0,Kushtia,Khulna,114.85,56.9
2015.0,3.0,Magura,Khulna,490.21,242.9
2015.0,3.0,Meherpur,Khulna,341.85,169.4
2015.0,3.0,Narail,Khulna,29.63,14.7
2015.0,3.0,Satkhira,Khulna,900.43,446.1
2015.0,3.0,Habiganj,Sylhet,1902.66,942.6
2015.0,3.0,Maulvibazar,Sylhet,1267.83,628.1
2015.0,3.0,Sunamganj,Sylhet,1911.11,946.8
2015.0,3.0,Sylhet,Sylhet,2377.08,1177.7
2015.0,3.0,Bogra,Rajshahi,575.69,285.2
2015.0,3.0,Joypurhat,Rajshahi,708.11,350.8
2015.0,3.0,Naogaon,Rajshahi,2033.66,1007.5
2015.0,3.0,Natore,Rajshahi,775.31,384.1
2015.0,3.0,Nawabganj,Rajshahi,484.02,239.8
2015.0,3.0,Pabna,Rajshahi,1094.4,542.2
2015.0,3.0,Rajshahi,Rajshahi,163.46,81.0
2015.0,3.0,Sirajganj,Rajshahi,319.47,158.3
2015.0,3.0,Dinajpur,Rangpur,1846.43,914.8
2015.0,3.0,Gaibandha,Rangpur,270.42,134.0
2015.0,3.0,Kurigram,Rangpur,597.79,296.2
2015.0,3.0,Lalmonirhat,Rangpur,186.91,92.6
2015.0,3.0,Nilphamari,Rangpur,856.56,424.4
2015.0,3.0,Panchagarh,Rangpur,863.05,427.6
2015.0,3.0,Rangpur,Rangpur,1647.1,816.0
2015.0,3.0,Thakurgaon,Rangpur,1369.12,678.3
2015.0,3.0,Barguna,Barisal,153.83,76.2
2015.0,4.0,Barisal,Barisal,377.13,186.8
2015.0,4.0,Bhola,Barisal,624.64,309.5
2015.0,4.0,Jhalokati,Barisal,31.48,15.6
2015.0,4.0,Patuakhali,Barisal,211.45,104.8
2015.0,4.0,Pirojpur,Barisal,90.47,44.8
2015.0,4.0,Bandarban,Chittagong,784.36,388.6
2015.0,4.0,Brahamanbaria,Chittagong,344.49,170.7
2015.0,4.0,Chandpur,Chittagong,232.74,115.3
2015.0,4.0,Chittagong,Chittagong,757.6,375.3
2015.0,4.0,Comilla,Chittagong,886.31,439.1
2015.0,4.0,Cox's Bazar,Chittagong,494.3,244.9
2015.0,4.0,Feni,Chittagong,243.32,120.5
2015.0,4.0,Khagrachhari,Chittagong,587.34,291.0
2015.0,4.0,Lakshmipur,Chittagong,280.37,138.9
2015.0,4.0,Noakhali,Chittagong,100.74,49.9
2015.0,4.0,Rangamati,Chittagong,278.27,137.9
2015.0,4.0,Dhaka,Dhaka,667.55,330.7
2015.0,4.0,Faridpur,Dhaka,189.92,94.1
2015.0,4.0,Gazipur,Dhaka,524.16,259.7
2015.0,4.0,Gopalganj,Dhaka,511.86,253.6
2015.0,4.0,Jamalpur,Dhaka,798.39,395.5
2015.0,4.0,Kishoreganj,Dhaka,352.06,174.4
2015.0,4.0,Madaripur,Dhaka,43.95,21.8
2015.0,4.0,Manikganj,Dhaka,132.59,65.7
2015.0,4.0,Munshiganj,Dhaka,72.86,36.1
2015.0,4.0,Mymensingh,Dhaka,1612.86,799.1
2015.0,4.0,Narayanganj,Dhaka,293.31,145.3
2015.0,4.0,Narsingdi,Dhaka,184.07,91.2
2015.0,4.0,Netrakona,Dhaka,975.07,483.1
2015.0,4.0,Rajbari,Dhaka,105.46,52.2
2015.0,4.0,Shariatpur,Dhaka,137.77,68.3
2015.0,4.0,Sherpur,Dhaka,869.75,430.9
2015.0,4.0,Tangail,Dhaka,1322.37,655.1
2015.0,4.0,Bagerhat,Khulna,586.55,290.6
2015.0,4.0,Chuadanga,Khulna,320.87,159.0
2015.0,4.0,Jessore,Khulna,144.59,71.6
2015.0,4.0,Jhenaidah,Khulna,514.4,254.9
2015.0,4.0,Khulna,Khulna,470.66,233.2
2015.0,4.0,Kushtia,Khulna,126.19,62.5
2015.0,4.0,Magura,Khulna,231.81,114.8
2015.0,4.0,Meherpur,Khulna,325.35,161.2
2015.0,4.0,Narail,Khulna,24.08,11.9
2015.0,4.0,Satkhira,Khulna,744.33,368.8
2015.0,4.0,Habiganj,Sylhet,674.4,334.1
2015.0,4.0,Maulvibazar,Sylhet,374.21,185.4
2015.0,4.0,Sunamganj,Sylhet,332.7,164.8
2015.0,4.0,Sylhet,Sylhet,479.07,237.3
2015.0,4.0,Bogra,Rajshahi,506.31,250.8
2015.0,4.0,Joypurhat,Rajshahi,591.54,293.1
2015.0,4.0,Naogaon,Rajshahi,1470.39,728.5
2015.0,4.0,Natore,Rajshahi,489.96,242.7
2015.0,4.0,Nawabganj,Rajshahi,407.83,202.1
2015.0,4.0,Pabna,Rajshahi,752.01,372.6
2015.0,4.0,Rajshahi,Rajshahi,334.16,165.6
2015.0,4.0,Sirajganj,Rajshahi,198.12,98.2
2015.0,4.0,Dinajpur,Rangpur,1967.83,974.9
2015.0,4.0,Gaibandha,Rangpur,179.64,89.0
2015.0,4.0,Kurigram,Rangpur,326.89,162.0
2015.0,4.0,Lalmonirhat,Rangpur,291.95,144.6
2015.0,4.0,Nilphamari,Rangpur,771.98,382.5
2015.0,4.0,Panchagarh,Rangpur,373.04,184.8
2015.0,4.0,Rangpur,Rangpur,1775.38,879.6
2015.0,4.0,Thakurgaon,Rangpur,769.35,381.2
2015.0,4.0,Barguna,Barisal,155.84,77.2
2015.0,5.0,Barisal,Barisal,459.88,227.8
2015.0,5.0,Bhola,Barisal,653.86,323.9
2015.0,5.0,Jhalokati,Barisal,45.46,22.5
2015.0,5.0,Patuakhali,Barisal,234.56,116.2
2015.0,5.0,Pirojpur,Barisal,102.53,50.8
2015.0,5.0,Bandarban,Chittagong,1657.0,820.9
2015.0,5.0,Brahamanbaria,Chittagong,120.6,59.7
2015.0,5.0,Chandpur,Chittagong,257.45,127.5
2015.0,5.0,Chittagong,Chittagong,842.9,417.6
2015.0,5.0,Comilla,Chittagong,681.01,337.4
2015.0,5.0,Cox's Bazar,Chittagong,437.66,216.8
2015.0,5.0,Feni,Chittagong,229.63,113.8
2015.0,5.0,Khagrachhari,Chittagong,724.83,359.1
2015.0,5.0,Lakshmipur,Chittagong,288.75,143.1
2015.0,5.0,Noakhali,Chittagong,96.61,47.9
2015.0,5.0,Rangamati,Chittagong,288.28,142.8
2015.0,5.0,Dhaka,Dhaka,713.09,353.3
2015.0,5.0,Faridpur,Dhaka,117.61,58.3
2015.0,5.0,Gazipur,Dhaka,575.88,285.3
2015.0,5.0,Gopalganj,Dhaka,405.54,200.9
2015.0,5.0,Jamalpur,Dhaka,134.4,66.6
2015.0,5.0,Kishoreganj,Dhaka,400.94,198.6
2015.0,5.0,Madaripur,Dhaka,55.26,27.4
2015.0,5.0,Manikganj,Dhaka,152.4,75.5
2015.0,5.0,Munshiganj,Dhaka,82.12,40.7
2015.0,5.0,Mymensingh,Dhaka,1336.43,662.1
2015.0,5.0,Narayanganj,Dhaka,68.54,34.0
2015.0,5.0,Narsingdi,Dhaka,72.51,35.9
2015.0,5.0,Netrakona,Dhaka,546.33,270.7
2015.0,5.0,Rajbari,Dhaka,126.66,62.8
2015.0,5.0,Shariatpur,Dhaka,179.89,89.1
2015.0,5.0,Sherpur,Dhaka,549.03,272.0
2015.0,5.0,Tangail,Dhaka,484.53,240.1
2015.0,5.0,Bagerhat,Khulna,855.23,423.7
2015.0,5.0,Chuadanga,Khulna,38.32,19.0
2015.0,5.0,Jessore,Khulna,237.79,117.8
2015.0,5.0,Jhenaidah,Khulna,219.57,108.8
2015.0,5.0,Khulna,Khulna,555.96,275.4
2015.0,5.0,Kushtia,Khulna,104.06,51.6
2015.0,5.0,Magura,Khulna,100.49,49.8
2015.0,5.0,Meherpur,Khulna,37.4,18.5
2015.0,5.0,Narail,Khulna,28.94,14.3
2015.0,5.0,Satkhira,Khulna,916.73,454.2
2015.0,5.0,Habiganj,Sylhet,538.75,266.9
2015.0,5.0,Maulvibazar,Sylhet,344.36,170.6
2015.0,5.0,Sunamganj,Sylhet,1317.73,652.8
2015.0,5.0,Sylhet,Sylhet,522.46,258.8
2015.0,5.0,Bogra,Rajshahi,166.43,82.5
2015.0,5.0,Joypurhat,Rajshahi,430.38,213.2
2015.0,5.0,Naogaon,Rajshahi,1233.17,611.0
2015.0,5.0,Natore,Rajshahi,205.97,102.0
2015.0,5.0,Nawabganj,Rajshahi,133.76,66.3
2015.0,5.0,Pabna,Rajshahi,148.9,73.8
2015.0,5.0,Rajshahi,Rajshahi,139.18,69.0
2015.0,5.0,Sirajganj,Rajshahi,278.57,138.0
2015.0,5.0,Dinajpur,Rangpur,596.09,295.3
2015.0,5.0,Gaibandha,Rangpur,228.84,113.4
2015.0,5.0,Kurigram,Rangpur,399.07,197.7
2015.0,5.0,Lalmonirhat,Rangpur,84.64,41.9
2015.0,5.0,Nilphamari,Rangpur,413.07,204.6
2015.0,5.0,Panchagarh,Rangpur,317.01,157.1
2015.0,5.0,Rangpur,Rangpur,513.98,254.6
2015.0,5.0,Thakurgaon,Rangpur,391.94,194.2
2015.0,5.0,Barguna,Barisal,165.48,82.0
2015.0,6.0,Barisal,Barisal,696.57,345.1
2015.0,6.0,Bhola,Barisal,830.3,411.4
2015.0,6.0,Jhalokati,Barisal,246.46,122.1
2015.0,6.0,Patuakhali,Barisal,702.05,347.8
2015.0,6.0,Pirojpur,Barisal,441.53,218.7
2015.0,6.0,Bandarban,Chittagong,2206.91,1093.4
2015.0,6.0,Brahamanbaria,Chittagong,731.46,362.4
2015.0,6.0,Chandpur,Chittagong,348.38,172.6
2015.0,6.0,Chittagong,Chittagong,1545.88,765.9
2015.0,6.0,Comilla,Chittagong,814.33,403.4
2015.0,6.0,Cox's Bazar,Chittagong,337.02,167.0
2015.0,6.0,Feni,Chittagong,318.99,158.0
2015.0,6.0,Khagrachhari,Chittagong,1158.9,574.2
2015.0,6.0,Lakshmipur,Chittagong,329.02,163.0
2015.0,6.0,Noakhali,Chittagong,331.52,164.2
2015.0,6.0,Rangamati,Chittagong,323.44,160.2
2015.0,6.0,Dhaka,Dhaka,547.08,271.0
2015.0,6.0,Faridpur,Dhaka,148.11,73.4
2015.0,6.0,Gazipur,Dhaka,350.41,173.6
2015.0,6.0,Gopalganj,Dhaka,522.48,258.9
2015.0,6.0,Jamalpur,Dhaka,221.41,109.7
2015.0,6.0,Kishoreganj,Dhaka,1495.53,740.9
2015.0,6.0,Madaripur,Dhaka,129.95,64.4
2015.0,6.0,Manikganj,Dhaka,130.99,64.9
2015.0,6.0,Munshiganj,Dhaka,177.95,88.2
2015.0,6.0,Mymensingh,Dhaka,1313.55,650.8
2015.0,6.0,Narayanganj,Dhaka,103.72,51.4
2015.0,6.0,Narsingdi,Dhaka,217.69,107.9
2015.0,6.0,Netrakona,Dhaka,1186.23,587.7
2015.0,6.0,Rajbari,Dhaka,131.05,64.9
2015.0,6.0,Shariatpur,Dhaka,231.7,114.8
2015.0,6.0,Sherpur,Dhaka,432.57,214.3
2015.0,6.0,Tangail,Dhaka,390.89,193.7
2015.0,6.0,Bagerhat,Khulna,1253.05,620.8
2015.0,6.0,Chuadanga,Khulna,437.88,216.9
2015.0,6.0,Jessore,Khulna,278.81,138.1
2015.0,6.0,Jhenaidah,Khulna,558.76,276.8
2015.0,6.0,Khulna,Khulna,745.49,369.3
2015.0,6.0,Kushtia,Khulna,114.94,56.9
2015.0,6.0,Magura,Khulna,35.99,17.8
2015.0,6.0,Meherpur,Khulna,205.99,102.1
2015.0,6.0,Narail,Khulna,77.4,38.3
2015.0,6.0,Satkhira,Khulna,1114.32,552.1
2015.0,6.0,Habiganj,Sylhet,889.85,440.9
2015.0,6.0,Maulvibazar,Sylhet,389.12,192.8
2015.0,6.0,Sunamganj,Sylhet,2282.7,1130.9
2015.0,6.0,Sylhet,Sylhet,1206.97,598.0
2015.0,6.0,Bogra,Rajshahi,188.9,93.6
2015.0,6.0,Joypurhat,Rajshahi,292.41,144.9
2015.0,6.0,Naogaon,Rajshahi,945.42,468.4
2015.0,6.0,Natore,Rajshahi,136.07,67.4
2015.0,6.0,Nawabganj,Rajshahi,111.18,55.1
2015.0,6.0,Pabna,Rajshahi,272.83,135.2
2015.0,6.0,Rajshahi,Rajshahi,156.92,77.7
2015.0,6.0,Sirajganj,Rajshahi,467.51,231.6
2015.0,6.0,Dinajpur,Rangpur,986.73,488.9
2015.0,6.0,Gaibandha,Rangpur,330.75,163.9
2015.0,6.0,Kurigram,Rangpur,525.51,260.4
2015.0,6.0,Lalmonirhat,Rangpur,78.39,38.8
2015.0,6.0,Nilphamari,Rangpur,343.83,170.3
2015.0,6.0,Panchagarh,Rangpur,489.85,242.7
2015.0,6.0,Rangpur,Rangpur,789.59,391.2
2015.0,6.0,Thakurgaon,Rangpur,766.05,379.5
2015.0,6.0,Barguna,Barisal,568.25,281.5
2015.0,7.0,Barisal,Barisal,578.81,286.8
2015.0,7.0,Bhola,Barisal,726.95,360.2
2015.0,7.0,Jhalokati,Barisal,150.95,74.8
2015.0,7.0,Patuakhali,Barisal,524.76,260.0
2015.0,7.0,Pirojpur,Barisal,262.93,130.3
2015.0,7.0,Bandarban,Chittagong,1632.33,808.7
2015.0,7.0,Brahamanbaria,Chittagong,631.12,312.7
2015.0,7.0,Chandpur,Chittagong,340.6,168.7
2015.0,7.0,Chittagong,Chittagong,1203.94,596.5
2015.0,7.0,Comilla,Chittagong,594.35,294.5
2015.0,7.0,Cox's Bazar,Chittagong,398.42,197.4
2015.0,7.0,Feni,Chittagong,242.95,120.4
2015.0,7.0,Khagrachhari,Chittagong,1373.33,680.4
2015.0,7.0,Lakshmipur,Chittagong,318.07,157.6
2015.0,7.0,Noakhali,Chittagong,377.2,186.9
2015.0,7.0,Rangamati,Chittagong,320.06,158.6
2015.0,7.0,Dhaka,Dhaka,153.69,76.1
2015.0,7.0,Faridpur,Dhaka,186.2,92.2
2015.0,7.0,Gazipur,Dhaka,223.02,110.5
2015.0,7.0,Gopalganj,Dhaka,353.47,175.1
2015.0,7.0,Jamalpur,Dhaka,174.38,86.4
2015.0,7.0,Kishoreganj,Dhaka,1359.45,673.5
2015.0,7.0,Madaripur,Dhaka,91.37,45.3
2015.0,7.0,Manikganj,Dhaka,222.42,110.2
2015.0,7.0,Munshiganj,Dhaka,145.57,72.1
2015.0,7.0,Mymensingh,Dhaka,1505.03,745.6
2015.0,7.0,Narayanganj,Dhaka,77.45,38.4
2015.0,7.0,Narsingdi,Dhaka,190.29,94.3
2015.0,7.0,Netrakona,Dhaka,1074.72,532.5
2015.0,7.0,Rajbari,Dhaka,157.94,78.2
2015.0,7.0,Shariatpur,Dhaka,223.63,110.8
2015.0,7.0,Sherpur,Dhaka,321.37,159.2
2015.0,7.0,Tangail,Dhaka,368.94,182.8
2015.0,7.0,Bagerhat,Khulna,1337.97,662.9
2015.0,7.0,Chuadanga,Khulna,213.04,105.5
2015.0,7.0,Jessore,Khulna,343.16,170.0
2015.0,7.0,Jhenaidah,Khulna,263.23,130.4
2015.0,7.0,Khulna,Khulna,1263.96,626.2
2015.0,7.0,Kushtia,Khulna,138.94,68.8
2015.0,7.0,Magura,Khulna,138.91,68.8
2015.0,7.0,Meherpur,Khulna,111.5,55.2
2015.0,7.0,Narail,Khulna,184.33,91.3
2015.0,7.0,Satkhira,Khulna,1259.51,624.0
2015.0,7.0,Habiganj,Sylhet,793.58,393.2
2015.0,7.0,Maulvibazar,Sylhet,500.29,247.9
2015.0,7.0,Sunamganj,Sylhet,2031.68,1006.6
2015.0,7.0,Sylhet,Sylhet,563.76,279.3
2015.0,7.0,Bogra,Rajshahi,535.41,265.3
2015.0,7.0,Joypurhat,Rajshahi,431.57,213.8
2015.0,7.0,Naogaon,Rajshahi,1435.73,711.3
2015.0,7.0,Natore,Rajshahi,337.16,167.0
2015.0,7.0,Nawabganj,Rajshahi,228.93,113.4
2015.0,7.0,Pabna,Rajshahi,364.88,180.8
2015.0,7.0,Rajshahi,Rajshahi,505.34,250.4
2015.0,7.0,Sirajganj,Rajshahi,545.68,270.3
2015.0,7.0,Dinajpur,Rangpur,1221.59,605.2
2015.0,7.0,Gaibandha,Rangpur,296.73,147.0
2015.0,7.0,Kurigram,Rangpur,517.2,256.2
2015.0,7.0,Lalmonirhat,Rangpur,258.09,127.9
2015.0,7.0,Nilphamari,Rangpur,648.63,321.4
2015.0,7.0,Panchagarh,Rangpur,411.35,203.8
2015.0,7.0,Rangpur,Rangpur,925.12,458.3
2015.0,7.0,Thakurgaon,Rangpur,414.34,205.3
2015.0,7.0,Barguna,Barisal,290.46,143.9
2015.0,8.0,Barisal,Barisal,461.69,228.7
2015.0,8.0,Bhola,Barisal,655.71,324.9
2015.0,8.0,Jhalokati,Barisal,88.5,43.8
2015.0,8.0,Patuakhali,Barisal,477.33,236.5
2015.0,8.0,Pirojpur,Barisal,201.14,99.7
2015.0,8.0,Bandarban,Chittagong,1355.2,671.4
2015.0,8.0,Brahamanbaria,Chittagong,549.34,272.2
2015.0,8.0,Chandpur,Chittagong,310.67,153.9
2015.0,8.0,Chittagong,Chittagong,1491.6,739.0
2015.0,8.0,Comilla,Chittagong,616.83,305.6
2015.0,8.0,Cox's Bazar,Chittagong,461.45,228.6
2015.0,8.0,Feni,Chittagong,257.3,127.5
2015.0,8.0,Khagrachhari,Chittagong,775.94,384.4
2015.0,8.0,Lakshmipur,Chittagong,336.77,166.8
2015.0,8.0,Noakhali,Chittagong,368.9,182.8
2015.0,8.0,Rangamati,Chittagong,490.13,242.8
2015.0,8.0,Dhaka,Dhaka,151.29,75.0
2015.0,8.0,Faridpur,Dhaka,360.32,178.5
2015.0,8.0,Gazipur,Dhaka,272.39,135.0
2015.0,8.0,Gopalganj,Dhaka,227.95,112.9
2015.0,8.0,Jamalpur,Dhaka,250.59,124.2
2015.0,8.0,Kishoreganj,Dhaka,1225.62,607.2
2015.0,8.0,Madaripur,Dhaka,93.51,46.3
2015.0,8.0,Manikganj,Dhaka,260.14,128.9
