Month_Num,Month_Name,Area_Name,GMM_Threshold_dB
4,April,Bagerhat,-10.0083
4,April,Bandarban,-7.7738
4,April,Barguna,-14.6925
4,April,Barisal,-14.3631
4,April,Bhola,-15.1343
4,April,Bogra,-9.5971
4,April,Brahamanbaria,-9.4727
4,April,Chandpur,-14.6216
4,April,Chittagong,-8.5874
4,April,Chuadanga,-9.1076
4,April,Comilla,-8.5223
4,April,Cox's Bazar,-9.5499
4,April,Dhaka,-7.9245
4,April,Dinajpur,-8.3646
4,April,Faridpur,-10.4027
4,April,Feni,-8.3743
4,April,Gaibandha,-14.9033
4,April,Gazipur,-7.7411
4,April,Gopalganj,-8.8898
4,April,Habiganj,-9.372
4,April,Jamalpur,-9.5585
4,April,Jessore,-10.3248
4,April,Jhalokati,-13.8899
4,April,Jhenaidah,-9.0702
4,April,Joypurhat,-8.2415
4,April,Khagrachhari,-7.7144
4,April,Khulna,-12.496
4,April,Kishoreganj,-10.4535
4,April,Kurigram,-15.0679
4,April,Kushtia,-13.2453
4,April,Lakshmipur,-14.3037
4,April,Lalmonirhat,-8.9139
4,April,Madaripur,-13.8825
4,April,Magura,-9.0368
4,April,Manikganj,-15.7749
4,April,Maulvibazar,-9.4067
4,April,Meherpur,-8.5982
4,April,Munshiganj,-14.9606
4,April,Mymensingh,-8.6413
4,April,Naogaon,-8.3806
4,April,Narail,-13.0355
4,April,Narayanganj,-8.2046
4,April,Narsingdi,-9.5413
4,April,Natore,-9.0364
4,April,Nawabganj,-9.9718
4,April,Netrakona,-9.8552
4,April,Nilphamari,-8.3874
4,April,Noakhali,-15.7911
4,April,Pabna,-10.1979
4,April,Panchagarh,-9.0377
4,April,Patuakhali,-13.9824
4,April,Pirojpur,-14.4181
4,April,Rajbari,-14.3617
4,April,Rajshahi,-10.2066
4,April,Rangamati,-12.5373
4,April,Rangpur,-7.1167
4,April,Satkhira,-12.0578
4,April,Shariatpur,-15.6137
4,April,Sherpur,-7.8863
4,April,Sirajganj,-16.2819
4,April,Sunamganj,-11.1093
4,April,Sylhet,-9.9742
4,April,Tangail,-9.0169
4,April,Thakurgaon,-9.1891
4,April,national_mean,-10.8777
5,May,Bagerhat,-9.3259
5,May,Bandarban,-6.7474
5,May,Barguna,-14.0908
5,May,Barisal,-13.3988
5,May,Bhola,-14.5169
5,May,Bogra,-13.8951
5,May,Brahamanbaria,-12.5415
5,May,Chandpur,-13.9931
5,May,Chittagong,-8.3801
5,May,Chuadanga,-8.2878
5,May,Comilla,-8.0968
5,May,Cox's Bazar,-9.8863
5,May,Dhaka,-7.5386
5,May,Dinajpur,-8.0341
5,May,Faridpur,-12.9588
5,May,Feni,-7.9159
5,May,Gaibandha,-13.3766
5,May,Gazipur,-7.3547
