class,Field_Truth,Month,Year,longitude,latitude
0,0,1,2025,88.7533254921877,26.030886229809227
0,1,1,2025,90.3933797064047,24.034470342382004
0,0,1,2025,92.38350738684309,22.801802109513197
0,0,1,2025,90.20554198049531,25.198597119072492
0,0,1,2025,90.10609847854327,24.946080692706495
0,0,1,2025,89.5620787424805,24.683503135158357
0,0,1,2025,89.60986911559566,24.540311678869706
0,0,1,2025,91.40075046601633,25.092865410131623
0,0,1,2025,90.9119771199269,24.66436901960661
0,0,1,2025,92.19881376442812,25.049836108022298
0,0,1,2025,89.13573830863737,23.755723109719717
0,0,1,2025,90.2152437855638,21.810511193487304
0,0,1,2025,92.03379324673536,21.719871181319643
0,0,1,2025,91.63601923892723,24.982372630184923
0,0,1,2025,89.76195389319709,25.698329911628182
0,0,1,2025,90.52462356941456,22.976434600746032
0,0,1,2025,92.16207266930763,22.962959871484237
0,0,1,2025,89.82618343601163,22.385522806852208
0,0,1,2025,91.19072435258919,24.96027407419558
0,0,1,2025,89.80354589085182,23.856514084597926
0,0,1,2025,88.96200413268866,22.9776922421438
0,0,1,2025,91.82870786737088,23.195533698542782
0,0,1,2025,91.22270437670385,22.91894242256238
0,0,1,2025,89.8341784420403,25.060436228374908
0,0,1,2025,88.47385960729811,26.18377949116637
0,0,1,2025,91.11275058592761,23.49494218273982
0,0,1,2025,91.53154517138414,24.144154638572996
0,0,1,2025,89.3313913775186,25.368109213185846
0,0,1,2025,89.5283020877976,22.44624892005869
0,0,1,2025,91.04088536319806,23.800279547812043
0,0,1,2025,89.58444679305508,25.430182799318505
0,0,1,2025,89.098368392818,21.752030868491122
0,0,1,2025,89.97090202828329,23.342767573609972
0,0,1,2025,90.33984011547118,23.561417513764663
0,0,1,2025,89.47548114909138,23.628072507846333
0,0,1,2025,89.6823631590241,26.08810891340764
0,0,1,2025,88.68747898186173,24.533035325068337
0,0,1,2025,88.88205407240201,23.07030854793652
0,1,1,2025,92.15731159830179,21.303951204772307
0,0,1,2025,89.14642826051839,22.316172866918183
0,0,1,2025,90.81379125937264,24.78653989824687
0,0,1,2025,88.99802657558185,23.591061918140607
0,0,1,2025,89.11525672015945,23.78033694850459
0,0,1,2025,89.17966592603082,22.012991458527843
0,0,1,2025,88.75143903009103,25.085589056330257
0,0,1,2025,92.3805429464055,23.27997533525002
0,0,1,2025,92.14653181489236,21.684387727596924
0,0,1,2025,90.45742958616242,22.460262638490953
0,0,1,2025,92.30625227240881,25.023515470197598
0,0,1,2025,92.2986165924938,22.91930174867603
0,0,1,2025,88.99362483068967,25.473391764484653
0,0,1,2025,89.61148608310707,25.936024135806207
0,0,1,2025,89.0283896321851,23.762640137407438
0,0,1,2025,92.01735407703598,21.85542695769328
0,0,1,2025,90.42455124676366,22.671995550957924
0,0,1,2025,88.96577705688196,23.32210632207522
0,0,1,2025,90.68964408710733,23.905562099110853
0,0,1,2025,90.10457134256028,24.15861751464732
0,0,1,2025,89.75943861040156,24.23955572174649
0,0,1,2025,89.54977182308807,24.468805782253792
0,0,1,2025,89.48653042708605,24.882659633647656
0,0,1,2025,90.12631057243597,23.052162579197308
0,0,1,2025,91.96920437780717,22.92442214579551
0,0,1,2025,89.54429209985493,25.830921247564223
0,0,1,2025,88.81090750189975,25.920662944447763
0,0,1,2025,89.33031339917765,23.72239561267888
0,0,1,2025,90.87308006812452,23.312045190893084
0,0,1,2025,89.28692477095468,21.92953796863314
0,0,1,2025,90.74246502581354,23.930625095537785
0,0,1,2025,90.08031682988906,22.989190677780527
0,0,1,2025,89.3162996807454,25.972316073284635
0,0,1,2025,92.10386183889668,23.243503734714764
0,0,1,2025,89.4298467326581,22.13974374511711
0,0,1,2025,90.75800588022882,24.28510030665135
0,0,1,2025,88.71945900597639,24.701379609312337
0,0,1,2025,89.45329276157362,22.158518534555206
0,0,1,2025,89.67715293037621,26.12637714451113
0,0,1,2025,89.19933903075304,22.16651354058387
0,0,1,2025,90.33588752822105,22.2824860437637
0,0,1,2025,92.28469270558995,23.29345006451181
0,0,1,2025,90.63538584394651,22.051978341858632
0,0,1,2025,89.55947362815655,23.717544710144637
0,0,1,2025,92.28020112916934,21.5444302063311
0,0,1,2025,89.2509023280615,23.36432714042884
0,0,1,2025,90.01276352052327,22.44687774075757
0,0,1,2025,89.52434950054747,22.68879404677096
0,0,1,2025,88.80237350670062,25.581998082334703
0,0,1,2025,88.71092501077725,24.575525638007193
0,0,1,2025,88.83363487858797,24.759859934308516
0,0,1,2025,89.67149354408626,23.271531171579294
0,0,1,2025,89.61894209996527,25.408892727084872
0,0,1,2025,88.41717591287016,26.085593630612106
0,0,1,2025,92.1919865682688,22.297667572065322
0,0,1,2025,89.04599661175384,26.158357168625788
0,0,1,2025,90.27228680610538,24.505726540431105
0,0,1,2025,91.72297615843,24.799924795980246
0,0,1,2025,88.43011165296149,24.688533700749428
